eventType,eventTimestamp,executionID,orderID,instrumentID,side,quantity,price,trader,venueID,assetClass,,,,,
new,2019.12.31D21:38:00.000000000,B&S_TransactionID_Internal1_B,BAS_OrderID_Internal1_B,BAS1,B,10,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:00.000000000,B&S_TransactionID_Internal1_S,BAS_OrderID_Internal1_S,BAS1,S,10,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:15.000000000,B&S_TransactionID5,BAS_OrderID105,BAS1,B,25,1.04,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:35.350000000,B&S_TransactionID6,BAS_OrderID106,BAS1,S,15,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:39:36.360000000,B&S_TransactionID7,BAS_OrderID107,BAS1,S,20,1.06,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:00.000000000,B&S_TransactionID_Internal2_B,BAS_OrderID_Internal2_B,BAS2,B,10,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:00.000000000,B&S_TransactionID_Internal2_S,BAS_OrderID_Internal2_S,BAS2,S,10,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:15.000000000,B&S_TransactionID15,BAS_OrderID205,BAS2,B,25,1.06,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:35.350000000,B&S_TransactionID16,BAS_OrderID206,BAS2,S,15,1.05,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:39:36.360000000,B&S_TransactionID17,BAS_OrderID207,BAS2,S,20,1.06,FDUUID,BMF,COMM_EXCH,,,,,
new,2019.12.31D21:38:35.350000000,25,BAS/1000016,BHP,S,15,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D21:39:36.360000000,26,BAS/1000017,BHP,S,20,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D20:38:35.002000000,9,BAS/1000006,SUBID1,S,15,1.06,REF_FDTRADER1,Exch1,COMM_EXCH,,,,,
new,2019.12.31D20:39:36.002000000,10,BAS/1000007,SUBID1,S,20,1.06,REF_FDTRADER1,Exch1,COMM_EXCH,,,,,
new,2019.12.31D15:00:11.000000000,B&S_S3_TradeID11,BAS_S3_OrderID11,bsSym3,B,100,5.0003,bsTrader3,CBT,COMM_EXCH,,,,,
new,2019.12.31D15:00:12.000000000,B&S_S3_TradeID10,BAS_S3_OrderID10,bsSym3,B,100,5.0002,bsTrader3,CBT,COMM_EXCH,,,,,
new,2019.12.31D15:00:13.000000000,B&S_S3_TradeID9,BAS_S3_OrderID9,bsSym3,B,100,5.0001,bsTrader3,CBT,COMM_EXCH,,,,,
new,2019.12.31D15:00:14.000000000,B&S_S3_TradeID8,BAS_S3_OrderID8,bsSym3,B,100,5.0001,bsTrader3,CBT,COMM_EXCH,,,,,
new,2019.12.31D15:00:15.000000000,B&S_S3_TradeID7,BAS_S3_OrderID7,bsSym3,B,400,5.0013,bsTrader3,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:13.000000000,B&S_S5_TradeID1B,BAS_S5_OrderID1B,bsSym5,B,100,6.0001,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:13.000000000,B&S_S5_TradeID1O,BAS_S5_OrderID1O,bsSym5,B,100,6.0002,otherTDR,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:14.000000000,B&S_S5_TradeID1Bb,BAS_S5_OrderID1Bb,bsSym5,B,100,6.0001,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:14.000000000,B&S_S5_TradeID2B,BAS_S5_OrderID2B,bsSym5,B,100,6.0001,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:14.002000000,B&S_S5_TradeID11,BAS_S5_OrderID11,bsSym5,B,99,5.9997,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:14.004000000,B&S_S5_TradeID5,BAS_S5_OrderID5,bsSym5,S,140,5.9999,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:16.000000000,B&S_S5_TradeID12,BAS_S5_OrderID12,bsSym5,B,198,5.9997,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:17.000000000,B&S_S5_TradeID13,BAS_S5_OrderID13,bsSym5,B,99,5.9997,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:18.000000000,B&S_S5_TradeID14,BAS_S5_OrderID14,bsSym5,B,198,5.9998,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:19.000000000,B&S_S5_TradeID6,BAS_S5_OrderID6,bsSym5,S,150,5.9999,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D16:00:19.000000000,B&S_S5_TradeID15,BAS_S5_OrderID15,bsSym5,B,99,5.9998,bsTrader5,CBT,COMM_EXCH,,,,,
new,2019.12.31D09:38:35.350000000,B&S_S6_TradeID1,BAS_S6_OrderID6,bsSym6,S,15,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D09:39:36.360000000,B&S_S6_TradeID2,BAS_S6_OrderID7,bsSym6,S,20,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D23:59:59.000000000,B&S_S6_TradeID3,BAS_S6_OrderID70,bsSym6,S,20,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D21:38:35.350000000,B&S_S7_TradeID1,BAS_S7_OrderID6,bsSym7,S,15,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D21:39:36.360000000,B&S_S7_TradeID2,BAS_S7_OrderID7,bsSym7,S,20,1.06,REF_FDTRADER2,Exch1,RATES_EXCH,,,,,
new,2019.12.31D12:30:32.000000000,MI_FEDS-FX-GZ-TradeID1,MI-noRelatedOrderID1,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:30:45.000000000,MI_FEDS-FX-GZ-TradeID2,MI-noRelatedOrderID2,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:31:10.000000000,MI_FEDS-FX-GZ-TradeID3,MI-noRelatedOrderID3,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:31:20.000000000,MI_FEDS-FX-GZ-TradeID4,MI-noRelatedOrderID4,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:32:30.000000000,MI_FEDS-FX-GZ-TradeID5,MI-noRelatedOrderID5,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:32:32.000000000,MI_FEDS-FX-GZ-TradeID6,MI-noRelatedOrderID6,EURUSD,B,100,1.01,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:32:45.000000000,MI_FEDS-FX-GZ-TradeID7,MI-noRelatedOrderID7,EURUSD,B,100,1.03,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:33:10.000000000,MI_FEDS-FX-GZ-TradeID8,MI-noRelatedOrderID8,EURUSD,B,100,1.02,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:33:20.000000000,MI_FEDS-FX-GZ-TradeID9,MI-noRelatedOrderID9,EURUSD,B,100,1.03,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:34:30.000000000,MI_FEDS-FX-GZ-TradeID10,MI-noRelatedOrderID10,EURUSD,B,100,1.04,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:34:32.000000000,MI_FEDS-FX-GZ-TradeID11,MI-noRelatedOrderID11,EURUSD,B,100,1.11,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:34:45.000000000,MI_FEDS-FX-GZ-TradeID12,MI-noRelatedOrderID12,EURUSD,S,100,1.11,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:35:10.000000000,MI_FEDS-FX-GZ-TradeID13,MI-noRelatedOrderID13,EURUSD,S,100,1.11,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:35:20.000000000,MI_FEDS-FX-GZ-TradeID14,MI-noRelatedOrderID14,EURUSD,S,100,1.11,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:35:30.000000000,MI_FEDS-FX-GZ-TradeID15,MI-noRelatedOrderID15,EURUSD,S,100,1.11,FEDSFDTrader1,,FX_OTC,,,,,
new,2019.12.31D12:30:32.004000000,MI_MIS1TradeID1,MI0160407/1000001,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:30:45.007000000,MI_MIS1TradeID2,MI0160407/1000002,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:31:10.011000000,MI_MIS1TradeID3,MI0160407/1000004,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:31:20.011000000,MI_MIS1TradeID4,MI0160407/1000005,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:32:30.011000000,MI_MIS1TradeID5,MI0160407/1000006,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:32:32.004000000,MI_MIS1TradeID6,MI0160407/1000007,MI_Sym,B,100,1.01,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:32:45.007000000,MI_MIS1TradeID7,MI0160407/1000008,MI_Sym,B,100,1.03,100,GCBOT,EQUITIES_EXCH_3,,,,,
new,2019.12.31D12:33:10.011000000,MI_MIS1TradeID8,MI0160407/1000009,MI_Sym,B,100,1.02,100,GCBOT,EQUITIES_EXCH_3,,,,,
