instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
USD 3M 3750,2015.01.27D09:00:00.000000000,MUREX211_GDC-20150206_CAP_B_0.5_VANILLA_TID12,new,,B,0.5,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2017.01.05,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:46.755911000,,,20150127001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:00:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID1,new,,S,0.5,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:46.805367000,,,20150127001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:00:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID1,replaced,,B,0.5,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:46.952898000,,,20150127003,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:00:00.000000000,MUREX211_GDC-20150206_CAP_B_0.5_DIGITAL_TID11,new,,B,0.5,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:47.001466000,,,20150127001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:00:00.000000000,MUREX211_GDC-20150206_CAP_B_0.5_VANILLA_TID10,new,,B,0.5,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:47.149808000,,,20150127001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:05:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID2,new,,B,0.6,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:47.050683000,,,20150127001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:10:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID2,replaced,,B,0.6,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:47.101021000,,,20150127002,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:20:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID1,replaced,,S,0.4,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:46.854608000,,,20150127002,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.27D09:20:00.000000000,MUREX211_GDC-20150127_FLOOR_B_0.5_DIGITAL_TID1,replaced,,S,0.4,3,30000000,,PTT_CF_TraderID,,IR_EXOT_CNO,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2016.12.30,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:47.570703000,,,20150127004,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-PTT_20150206.tar.gz,,,,,3049819,,,,,2015.01.27,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-IR_EXOT_CNO,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
USD 3M 3750,2015.01.28D09:00:00.000000000,MUREX211_GDC-20150206_CAP2_B_0.5_VANILLA_TID12,new,,B,0.5,3,30000000,,PTT_CF_TraderID,,UTAlerts_Account,,MUREX211_GDC,RATES_OTC,CAPFLOOR,,IR_DEPO_RA,Structured Swap,2017.01.05,MUREX211_GDC,,2016.07.06,SC_SPTIRGB_CLIE,USD 3M 3750,,,SHANGHAI,,2018.10.25D02:13:53.010729000,,,20150128001,,,,MUREX211_GDC-USD 3M 3750,MUREX211_GDC-IRD-CF-,MUREX211_GDC-IRD-CF-,,,,,,,,USD,MUREX211_GDC-USD,,,,,,,,VALD,FALSE,FALSE,,,,,,MUREX211_GDC-MUREX211_GDC,,,,,Murex211_TRADES_CAPFLOOR-UTAlerts_20150128.tar.gz,,,,,3049819,,,,,2015.01.28,,,,,,,,8.88E+13,,,MUREX211_GDC-PTT_CF_TraderID,MUREX211_GDC-UTAlerts_Account,MUREX211_GDC-SHANGHAI,,,,,,MUREX211_GDC-SC_SPTIRGB_CLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,MUREX211_GDC-USD 3M 3750,
