instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
AAAA11111111,2015.04.28D09:00:31.000000000,BTS-2015.04.28-111222,new,111222,S,30,,100,,REF_BTS_TraderID_10,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,AAAAAAAAA ,,ION,BTS-BTS,,,2018.10.25D02:07:39.084920000,,2015.04.28D06:54:00.000000000,1,,AAAA11111111,,ISIN_AAAA11111111,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,3000,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext.150428_parkingBTSTest.5,,,111222,,0,,,,,2015.04.28,,,,,,,,,,,BTS-FDTID10,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-AAAAAAAAA,,LN AAAAAAAAA        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
AAAA11111111,2015.04.28D09:03:32.000000000,BTS-2015.04.28-111333,new,111333,S,29.5,,105,,REF_BTS_TraderID_10,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,AAAAAAAAA ,,ION,BTS-BTS,,,2018.10.25D02:07:39.084920000,,2015.04.28D06:54:00.000000000,1,,AAAA11111111,,ISIN_AAAA11111111,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,3097.5,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext.150428_parkingBTSTest.5,,,111333,,0,,,,,2015.04.28,,,,,,,,,,,BTS-FDTID10,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-AAAAAAAAA,,LN AAAAAAAAA        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME1,2015.04.28D06:54:10.000000000,BTS-2015.04.28-200005,new,200005,B,106.05,,1000000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY1 ,,,BTS-BTS,,,2018.10.25D02:08:31.268309000,,2015.04.28D06:54:00.000000000,1,,FIXEDINCOME1,,ISIN_FIXEDINCOME1,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1060500,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150428_parkingDay1.5,,,200005,,200005,,,,,2015.04.28,,,,,,,,,,A,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY1,,LN FI_CTRPY1        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME1,2015.04.28D06:55:01.000000000,BTS-2015.04.28-200005,replaced,200005,B,106.05,,1500000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY1 ,,ION,BTS-BTS,,,2018.10.25D02:08:31.268309000,,2015.04.28D06:55:00.000000000,2,,FIXEDINCOME1,,ISIN_FIXEDINCOME1,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1590750,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150428_parkingDay1.5,,,200005,,200005,,,,,2015.04.28,,,,,,,,,,,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY1,,LN FI_CTRPY1        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,CTT,,,
FIXEDINCOME1,2015.04.28D06:56:10.000000000,BTS-2015.04.28-200006,new,200006,S,106.05,,1740000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY1 ,,,BTS-BTS,,,2018.10.25D02:08:31.268309000,,2015.04.28D06:56:00.000000000,1,,FIXEDINCOME1,,ISIN_FIXEDINCOME1,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1845270,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150428_parkingDay1.5,,,200006,,200006,,,,,2015.04.28,,,,,,,,,,A,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY1,,LN FI_CTRPY1        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME1,2015.04.28D06:57:01.000000000,BTS-2015.04.28-200006,cancelled,200006,S,106.05,,1740000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY1 ,,ION,BTS-BTS,,,2018.10.25D02:08:31.268309000,,2015.04.28D06:57:00.000000000,2,,FIXEDINCOME1,,ISIN_FIXEDINCOME1,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1845270,,SGD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150428_parkingDay1.5,,,200006,,200006,,,,,2015.04.28,,,,,,,,,,,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY1,,LN FI_CTRPY1        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150428_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,XTT,,,
FIXEDINCOME2,2015.04.29D06:54:10.000000000,BTS-2015.04.29-200106,new,200106,B,101,,1000000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY2 ,,,BTS-BTS,,,2018.10.25D02:08:35.926337000,,2015.04.29D06:54:00.000000000,1,,FIXEDINCOME2,,ISIN_FIXEDINCOME2,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1010000,,USD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150429_parkingDay2.5,,,200106,,200106,,,,,2015.04.29,,,,,,,,,,A,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY2,,LN FI_CTRPY2        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150429_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME2,2015.04.29D06:55:01.000000000,BTS-2015.04.29-200106,replaced,200106,B,102,,1500000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY2 ,,ION,BTS-BTS,,,2018.10.25D02:08:35.926337000,,2015.04.29D06:55:00.000000000,2,,FIXEDINCOME2,,ISIN_FIXEDINCOME2,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1530000,,USD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150429_parkingDay2.5,,,200106,,200106,,,,,2015.04.29,,,,,,,,,,,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY2,,LN FI_CTRPY2        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150429_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,CTT,,,
FIXEDINCOME2,2015.04.29D06:57:10.000000000,BTS-2015.04.29-200107,new,200107,S,106.05,,1740000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY2 ,,,BTS-BTS,,,2018.10.25D02:08:35.926337000,,2015.04.29D06:57:00.000000000,1,,FIXEDINCOME2,,ISIN_FIXEDINCOME2,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,1845270,,USD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150429_parkingDay2.5,,,200107,,200107,,,,,2015.04.29,,,,,,,,,,A,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY2,,LN FI_CTRPY2        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150429_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME2,2015.04.29D06:57:10.000000000,BTS-2015.04.29-200108,new,200108,S,107.05,,2000000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY2 ,,,BTS-BTS,,,2018.10.25D02:08:35.926337000,,2015.04.29D06:57:00.000000000,1,,FIXEDINCOME2,,ISIN_FIXEDINCOME2,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,2141000,,USD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150429_parkingDay2.5,,,200108,,200108,,,,,2015.04.29,,,,,,,,,,A,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY2,,LN FI_CTRPY2        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150429_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,TT,,,
FIXEDINCOME2,2015.04.29D06:58:01.000000000,BTS-2015.04.29-200108,replaced,200108,S,108,,2500000,,REF_BTS_TraderID,,GBUKAAAA,,BTS,FI_OTC,BOND,,,,2022.09.01,BTS,BTS,2017.01.23,FI_CTRPY2 ,,ION,BTS-BTS,,,2018.10.25D02:08:35.926337000,,2015.04.29D06:58:00.000000000,2,,FIXEDINCOME2,,ISIN_FIXEDINCOME2,BTS-FI_OTC-BOND,BTS-FI_OTC-BOND,,,,,,2700000,,USD,,,,,,,,,,FALSE,FALSE,,,,,,BTS-BTS,,,,,f165fd1.ext5.150429_parkingDay2.5,,,200108,,200108,,,,,2015.04.29,,,,,,,,,,,BTS-FI_TID1,BTS-GBUKAAAA,,AADDI10     ,BTS-AADDI10,,,,BTS-FI_CTRPY2,,LN FI_CTRPY2        ,,,Short Note 1: HHHHH; Short Note 3: 20160627; Short Note 4 Government; Long Note 1: HK_1111111; Long Note 3: ; Long Note 4: 00000010_20150429_08_0_BBG_BTS_AD_BOND_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,CTT,,,
