eventType,eventTimestamp,executionID,orderID,instrumentID,side,quantity,price,trader,venueID,assetClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:00.000000000,PAT_EXCH_tradeID1,PAT_EXCH_orderID1,PAT_sym,B,10000,1.26,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:00.000000000,PAT_EXCH_tradeID2,PAT_EXCH_orderID2,PAT_sym,S,10000,1.26,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:25.000000000,PAT_EXCH_tradeID4,PAT_EXCH_orderID4,PAT_sym,B,18000,1.2602,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:28.000000000,PAT_EXCH_tradeID4,PAT_EXCH_orderID4,PAT_sym,B,2000,1.2603,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:30.000000000,PAT_EXCH_tradeID3,PAT_EXCH_orderID3,PAT_sym,S,18000,1.2602,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:40.000000000,PAT_EXCH_tradeID5,PAT_EXCH_orderID5,PAT_sym,B,2500,1.2604,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:40.000000000,PAT_EXCH_tradeID5,PAT_EXCH_orderID5,PAT_sym,B,500,1.2604,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:40.000000000,PAT_EXCH_tradeID6,PAT_EXCH_orderID6,PAT_sym,S,2500,1.2604,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:49.000000000,PAT_EXCH_tradeID8,PAT_EXCH_orderID8,PAT_sym,B,6000,1.2606,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.02.05D10:01:49.000000000,PAT_EXCH_tradeID9,PAT_EXCH_orderID9,PAT_sym,B,6000,1.2606,MTCTrader,GCBOT,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
