instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
XYZ-Sep2015,2015.08.03D12:00:00.000000000,Transaction ID1_tradeNum1,new,Order ID1,S,123.45,0,75000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,1,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.03,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG1; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.03D13:00:00.000000000,Transaction ID1_tradeNum2,new,Order ID1,S,123.4,0,208000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,2,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.03,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG1; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.03D14:00:00.000000000,Transaction ID1_tradeNum3,new,Order ID1,S,123.35,0,68000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,3,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.03,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG1; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.04D12:00:00.000000000,Transaction ID2_tradeNum1,new,Order ID2,S,123.2,0,40000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,4,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.04,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG2; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.04D13:00:00.000000000,Transaction ID2_tradeNum2,new,Order ID2,S,123.1,0,20000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,5,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.04,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG2; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.04D14:00:00.000000000,Transaction ID2_tradeNum3,new,Order ID2,S,123.05,0,20000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,6,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.04,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG2; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.05D12:00:00.000000000,Transaction ID3_tradeNum1,new,Order ID3,S,122.5,0,8000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,7,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.05,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG3; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.05D13:00:00.000000000,Transaction ID3_tradeNum2,new,Order ID3,S,122.4,0,6000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,8,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.05,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG3; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.05D14:00:00.000000000,Transaction ID3_tradeNum3,new,Order ID3,S,122.31,0,6000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,9,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.05,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG3; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
XYZ-Sep2015,2015.08.05D15:00:00.000000000,Transaction ID4_tradeNum1,new,Order ID4,B,122.35,0,1000,,TandCTrader,FDBroker,FDAccountName,,BMF,COMM_EXCH,REF_BBG_PROD2,,,,2015.09.17,BBG_TRADEBOOK,BBG_TRADEBOOK,,,,BBG_TRADEBOOK,BBG_TRADEBOOK,,put,2018.10.25D01:49:48.301821000,,,10,xyzs15_BBG2TRKey,,,xyzs15_BBG2TRKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,SINGLE,,,,,,,CCY1041,BBG_TRADEBOOK-USD,,,,,,,,,FALSE,FALSE,,,,,,BMF,BMF,,BBG_TRADEBOOK,,BBG_ETD_PandD-TandCcasedata_DL_20150803.csv.gz,,,,,,,,,,2015.08.05,,,,,,,,,FDBroker,FDBroker,BBG_TRADEBOOK-TandCTrader,GUI-TandCTrader-FDAccountName-xyzs15_BBG2TRKey,,,,,,,,,,,,MSG:MSG4; orderType:LMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,5.94E+17,,,,,
