instrumentID,eventTimestamp,executionID,eventType,orderID,side,price,strikePrice,quantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,tradeSystem,settlementDate,counterparty,underlyingInstrumentID,orderPlatform,tradePlatform,legalEntity,optionCallPut,internalTimestamp,sendingTime,tradeTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,multiLegReportingType,parentStrategyType,priceType,markup,markupRateToBase,val,qtyType,ccy,ccyKey,qty1,ccy1,ccy1Key,qty2,ccy2,ccy2Key,feeCcy,transStatus,reversalIndicator,internalTrade,matchType,trdType,crossType,secondaryTrdType,aggressorIndicator,venueKey,venueSegment,venueType,orderPlatformKey,tradingPlatformInstance,sourceConnection,tradeIDversion,secondaryTradeID,origTradeID,structureID,tradeLinkID,sourceTradeID,sourceTradeLinkID,platformTradeID,platformTradeLinkID,tradeDate,tradeInputDate,valueDate,settlType,settlMethod,quoteID,olink,qlink,udflink,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntityKey,salesID,salesIDKey,userIDKey,revUserID,revUserIDKey,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,payFrequency,receiveFrequency,payRollConvention,receiveRollConvention,payProjectionCurve,receiveProjectionCurve,payDiscountCurve,receiveDiscountCurve,payCalendar,receiveCalendar,payDayCountConvention,receiveDayCountConvention,couponRate,payCouponType,receiveCouponType,payType,calendarType,rateCode,rate,deliveryIndex,closingIndexValue,optionCallPut,optPayout,optPayoutType,capPrice,floorPrice,strikeMultiplier,strikePriceBoundaryMethod,complexEventType,complexEventPrice,complexEventCondition,complexOptPayoutAmount,complexEventStartDate,complexEventEndDate,quality,publicationIndicator,flag,validationKey,possDupFlag,origTransType,lastOperationSubType,underlyingKey,refObligation
AUDCAD,2009.07.29D09:32:00.000000000,FEDS-FX-TB-TOOb_TradeID3,new,TOOB-noRelatedOrderID3,B,1.02,,1000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty2,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,1020,,,,1000,AUD,FEDS-AUD,980.3921569,CAD,FEDS-CAD,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID3,,,ID-89897,TB-TOOb_TradeID3,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty2,,,,,;simple test of buy/sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
AUDCAD,2009.07.29D09:33:00.000000000,FEDS-FX-TB-TOOb_TradeID4,new,TOOB-noRelatedOrderID4,S,1.02,,500,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty3,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,510,,,,500,AUD,FEDS-AUD,490.1960784,CAD,FEDS-CAD,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID4,,,ID-89896,TB-TOOb_TradeID4,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty3,,,,,;simple test of buy/sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
AUDCAD,2009.07.29D09:36:29.000000000,FEDS-FX-TB-TOOb_TradeID5,new,TOOB-noRelatedOrderID5,S,1.01,,5000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty4,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,5050,,,,5000,AUD,FEDS-AUD,4950.49505,CAD,FEDS-CAD,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID5,,,ID-89895,TB-TOOb_TradeID5,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty4,,,,,";Has past and future quotes in window, past is closest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
AUDCAD,2009.07.29D09:42:00.000000000,FEDS-FX-TB-TOOb_TradeID6,new,TOOB-noRelatedOrderID6,B,1.02,,5000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty5,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,5100,,,,5000,AUD,FEDS-AUD,4901.960784,CAD,FEDS-CAD,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID6,,,ID-89894,TB-TOOb_TradeID6,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty5,,,,,;simple test of buy/sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
BGNRON,2009.07.29D09:43:00.000000000,FEDS-FX-TB-TOOb_TradeID7,new,TOOB-noRelatedOrderID7,B,2.3,,15000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,34500,,,,15000,BGN,FEDS-BGN,6521.73913,RON,FEDS-RON,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID7,,,ID-89893,TB-TOOb_TradeID7,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Nearest quote is in last replay bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
CHFJPY,2009.07.29D09:46:00.000000000,FEDS-FX-TB-TOOb_TradeID8,new,TOOB-noRelatedOrderID8,S,113.78,,10000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,1137800,,,,10000,CHF,FEDS-CHF,87.8889084,JPY,FEDS-JPY,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID8,,,ID-89892,TB-TOOb_TradeID8,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Closest quote is for lower qtys (comparison),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
CHFJPY,2009.07.29D09:47:00.000000000,FEDS-FX-TB-TOOb_TradeID9,new,TOOB-noRelatedOrderID9,B,113.78,,10000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,1137800,,,,10000,CHF,FEDS-CHF,87.8889084,JPY,FEDS-JPY,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID9,,,ID-89891,TB-TOOb_TradeID9,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Closest quote is for lower qtys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
CHFJPY,2009.07.29D10:46:00.000000000,FEDS-FX-TB-TOOb_TradeID12,new,TOOB-noRelatedOrderID12,S,114.2,,20000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,2284000,,,,20000,CHF,FEDS-CHF,175.1313485,JPY,FEDS-JPY,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID12,,,ID-89888,TB-TOOb_TradeID12,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Just inside window of nearest past quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
CHFJPY,2009.07.29D10:46:01.000000000,FEDS-FX-TB-TOOb_TradeID13,new,TOOB-noRelatedOrderID13,S,114.2,,20000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,2284000,,,,20000,CHF,FEDS-CHF,175.1313485,JPY,FEDS-JPY,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID13,,,ID-89887,TB-TOOb_TradeID13,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Too far ahead nearest past quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
EURHKD,2009.07.29D08:52:00.000000000,FEDS-FX-TB-TOOb_TradeID1,new,TOOB-noRelatedOrderID1,B,8.15,,5000,FDUserID,REF_FEDS_TB-FDTRADER,FDTradingPlatform,FDAccount,,,FX_OTC,SPT_CCY,0,,,,FEDS_TB,FEDS_TB,2009.07.29,FDCounterParty,,,FEDS_TB,FDLegalEntity,,2018.10.25D01:58:04.586865000,,,,,,,,FX,FEDS-FX-SPT_CCY,,,,0,,40750,,,,5000,EUR,FEDS-EUR,613.4969325,HKD,FEDS-HKD,,,FALSE,FALSE,,0,,0,,,,,,,FEDS_EU_FX_DL_TOOBV2.txt.gz,0,TOOB-secondaryTradeID1,,,ID-89899,TB-TOOb_TradeID1,,FEDS,,2009.07.29,,2009.07.29,,,,,,,FDTradingPlatform,,FEDS_TB-FDTrader,FEDS_TB-FDAccount,FEDS-FDLegalEntity,,,FEDS_TB-FDUserID,,,FEDS-FDCounterParty,,,,,;Too far behind nearest future quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.03.24,,,FALSE,,5.94E+17,,,,,
