eventType,eventTimestamp,executionID,orderID,instrumentID,side,quantity,price,trader,venueID,assetClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D20:30:29.004000000,UTV/20160407/577501015,UTV/20160407/577501015,USM5,B,100000,1.35,REF_FD999TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replaced,2015.04.13D20:30:29.004000000,UTV/20160407/577501015,UTV/20160407/577501015,USM5,B,100000,1.35,REF_FD999TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replaced,2015.04.13D20:30:29.004000000,UTV/20160407/577501015,UTV/20160407/577501015,USM5,B,100000,1.35,REF_FD999TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replaced,2015.04.13D20:30:29.004000000,UTV/20160407/577501015,UTV/20160407/577501015,USM5,B,100000,1.35,REF_FD999TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D21:30:29.005000000,UTV/20160407/577501016,UTV/20160407/577501016,USM5,B,100000,1.3501,REF_FD999TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D21:40:29.008000000,UTV/20160407/577501017,UTV/20160407/577501017,USM5,S,100000,1.3502,REF_FD888TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D20:30:29.004000000,UTV/20160407/577501012,UTV/20160407/577501012,USM6,B,100000,1.35,REF_FD888TraderID,GXAAA,EQUITIES_EXCH_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D21:30:29.005000000,UTV/20160407/577501013,UTV/20160407/577501013,USM6,B,100000,1.3501,REF_FD888TraderID,GXAAA,EQUITIES_EXCH_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D21:40:29.008000000,UTV/20160407/577501014,UTV/20160407/577501014,USM6,S,100000,1.3502,REF_FD888TraderID,GCBOX,EQUITIES_EXCH_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.04.13D20:30:29.004000000,UTV/20160407/577501018,UTV/20160407/577501018,USM7,B,100000,1.35,REF_FD999TraderID,GCBOT,EQUITIES_EXCH_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
