instrumentID,eventTimestamp,orderID,orderType,eventType,side,price,stopPrice,lastPrice,quantity,leavesQuantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,parentOrderID,parentChildIndicator,timeInForce,orderCapacity,internalTimestamp,sendingTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,yield,qtyType,totalQty,minQty,secondaryDisplayQty,lastQty,ccy,ccyKey,val,displayMethod,execID,execType,eventType2,execRestatementReason,venueKey,venueSegment,venueType,orderPlatform,orderPlatformKey,sourceConnection,origOrderID,clOrdID,origClOrdID,quoteID,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntity,legalEntityKey,salesID,salesIDKey,userIDKey,counterParty,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,orderInstructions,expireDateTime,valueDate,peggedPrice,pegOffsetValue,pegInstruction,flag,validationKey,possDupFlag,userId,priceType,upstreamFileName,recordID,tenor,aggressorFlag,icebergFlag,upstreamRCAID,wtbFlag,midPD,loopFlag,localIOCFlag,tradeDate,pdFlag
ACT,2015.06.02D20:30:34.002000000,OrderID4_actTest,LMT,new,B,10,0,,100,100,,FD_UUID_2,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,104,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_2,GUI-FD_UUID_2-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID4_actTest,LMT,cancelled,B,10,0,,100,100,,FD_UUID_4,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,cancelled,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,104,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_4,GUI-FD_UUID_4-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID5_actTest,LMT,new,B,10,0,,100,100,,FD_UUID_6,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,105,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_6,GUI-FD_UUID_6-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID5_actTest,LMT,cancelled,B,10,0,,100,100,,FD_UUID_8,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,cancelled,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,105,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_8,GUI-FD_UUID_8-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID6_actTest,LMT,new,B,10,0,,100,100,,FD_UUID_10,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,106,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_10,GUI-FD_UUID_10-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID6_actTest,LMT,cancelled,B,10,0,,100,100,,FD_UUID_12,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,cancelled,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,106,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_12,GUI-FD_UUID_12-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID7_actTest,LMT,new,B,10,0,,100,100,,FD_UUID_14,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,107,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_14,GUI-FD_UUID_14-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT,2015.06.02D20:30:34.002000000,OrderID7_actTest,LMT,cancelled,B,10,0,,100,100,,FD_UUID_16,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACTKey,,,ACTKey,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,cancelled,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,107,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FD_UUID_16,GUI-FD_UUID_16-ITandATITAccount-ACT,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT1,2015.06.02D20:30:34.002000000,OrderID1_actTest,LMT,new,B,10,0,,100,100,,REF_FDUUID2,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACT1Key,,,ACT1Key,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,101,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FDUUID2,GUI-FDUUID2-ITandATITAccount-ACT1,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT1,2015.06.02D20:30:34.002000000,OrderID1_actTest,LMT,cancelled,B,10,0,,100,100,,REF_FDUUID2,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACT1Key,,,ACT1Key,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,cancelled,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,101,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FDUUID2,GUI-FDUUID2-ITandATITAccount-ACT1,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
ACT2,2015.06.02D20:30:34.002000000,OrderID2_actTest,LMT,new,B,10,0,,100,100,,REF_FDUUID2,1,ITandATITAccount,,Exch1,COMM_EXCH,REF_BBG_PROD2,,,,2016.12.01,BBG_TRADEBOOK,POID102,,GFD,agency,2018.10.25D01:39:15.231490000,,,ACT2Key,,,ACT2Key,Comdty,BBG_TRADEBOOK-Comdty-FUT,,,100,,,,CCY1041,BBG_TRADEBOOK-USD,,,,new,,,Exch1,Exch1,,BBG_TRADEBOOK,BBG_TRADEBOOK,BBG_ETD_ATITAlert-originalTESTDATA_DL_20150604.csv.gz,102,ExchOrdID102,,,1,UBS,BBG_TRADEBOOK-FDUUID2,GUI-FDUUID2-ITandATITAccount-ACT2,PLE1,,,,,,,,,,,MSG:text1; orderType:LMT,,,,,,,,5.94E+17,,,,,,,,,,,,,,,
