eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass
new,2015.05.01D21:30:29.290000000,BAS_OrderID101,BAS1,B,100,1,FDUUID,100,COMM_EXCH
new,2015.05.01D21:31:29.290000000,BAS_OrderID102,BAS1,B,100,1.01,FDUUID,100,COMM_EXCH
new,2015.05.01D21:32:30.300000000,BAS_OrderID103,BAS1,B,100,1.02,FDUUID,100,COMM_EXCH
new,2015.05.01D21:33:30.300000000,BAS_OrderID104,BAS1,B,100,1.03,FDUUID,100,COMM_EXCH
new,2015.05.01D21:34:31.310000000,BAS_OrderID105,BAS1,B,100,1.04,FDUUID,100,COMM_EXCH
new,2015.05.01D21:35:00.000000000,BAS_OrderID_Internal1_B,BAS1,B,10,1.05,FDUUID,10,COMM_EXCH
new,2015.05.01D21:35:00.000000000,BAS_OrderID_Internal1_B,BAS1,B,10,1.05,FDUUID,10,COMM_EXCH
new,2015.05.01D21:35:00.000000000,BAS_OrderID_Internal1_S,BAS1,S,10,1.05,FDUUID,10,COMM_EXCH
new,2015.05.01D21:35:00.000000000,BAS_OrderID_Internal1_S,BAS1,S,10,1.05,FDUUID,10,COMM_EXCH
new,2015.05.01D21:35:31.310000000,BAS_OrderID106,BAS1,S,15,1.05,FDUUID,15,COMM_EXCH
new,2015.05.01D21:36:33.330000000,BAS_OrderID107,BAS1,S,20,1.06,FDUUID,20,COMM_EXCH
new,2015.05.01D21:37:34.340000000,BAS_OrderID108,BAS1,S,25,1.07,FDUUID,25,COMM_EXCH
filled,2015.05.01D21:38:00.000000000,BAS_OrderID_Internal1_B,BAS1,B,10,1.05,FDUUID,0,COMM_EXCH
filled,2015.05.01D21:38:00.000000000,BAS_OrderID_Internal1_S,BAS1,S,10,1.05,FDUUID,0,COMM_EXCH
partiallyFilled,2015.05.01D21:38:15.000000000,BAS_OrderID105,BAS1,B,100,1.04,FDUUID,75,COMM_EXCH
filled,2015.05.01D21:38:35.350000000,BAS_OrderID106,BAS1,S,15,1.05,FDUUID,0,COMM_EXCH
filled,2015.05.01D21:39:36.360000000,BAS_OrderID107,BAS1,S,20,1.06,FDUUID,0,COMM_EXCH
cancelled,2015.05.01D21:41:38.380000000,BAS_OrderID102,BAS1,B,100,1.01,FDUUID,100,COMM_EXCH
cancelled,2015.05.01D21:42:39.390000000,BAS_OrderID103,BAS1,B,100,1.02,FDUUID,100,COMM_EXCH
cancelled,2015.05.01D21:43:40.400000000,BAS_OrderID104,BAS1,B,100,1.03,FDUUID,100,COMM_EXCH
cancelled,2015.05.01D21:44:41.410000000,BAS_OrderID105,BAS1,B,100,1.04,FDUUID,75,COMM_EXCH
cancelled,2015.05.01D23:59:59.000000000,BAS_OrderID101,BAS1,B,100,1,FDUUID,100,COMM_EXCH
cancelled,2015.05.01D23:59:59.000000000,BAS_OrderID108,BAS1,S,25,1.07,FDUUID,25,COMM_EXCH
new,2015.05.01D21:30:29.290000000,BAS_OrderID201,BAS2,B,100,1,FDUUID,100,COMM_EXCH
new,2015.05.01D21:31:29.290000000,BAS_OrderID202,BAS2,B,100,1.01,FDUUID,100,COMM_EXCH
new,2015.05.01D21:32:30.300000000,BAS_OrderID203,BAS2,B,100,1.02,FDUUID,100,COMM_EXCH
