instrumentID,eventTimestamp,orderID,orderType,eventType,side,price,stopPrice,lastPrice,quantity,leavesQuantity,user,trader,broker,account,clientID,venueID,assetClass,productType,productSubType,productSubType2,productSubType3,maturityDate,sourceSystemID,parentOrderID,parentChildIndicator,timeInForce,orderCapacity,internalTimestamp,sendingTime,seqNum,securityID,ISIN,CUSIP,symKey,assetClassKey,productKey,yield,qtyType,totalQty,minQty,secondaryDisplayQty,lastQty,ccy,ccyKey,val,displayMethod,execID,execType,eventType2,execRestatementReason,venueKey,venueSegment,venueType,orderPlatform,orderPlatformKey,sourceConnection,origOrderID,clOrdID,origClOrdID,quoteID,brokerIDKey,brokerName,traderIDKey,accountKey,legalEntity,legalEntityKey,salesID,salesIDKey,userIDKey,counterParty,counterPartyKey,counterPartyID,counterPartyDesc,counterPartyType,counterPartyStatus,text,orderInstructions,expireDateTime,valueDate,peggedPrice,pegOffsetValue,pegInstruction,flag,validationKey,possDupFlag,userId,priceType,upstreamFileName,recordID,tenor,aggressorFlag,icebergFlag,upstreamRCAID,wtbFlag,midPD,loopFlag,localIOCFlag,tradeDate,pdFlag
AUDCAD,2015.08.24D14:56:30.000000000,FX-PR-1-4354,AFX,pendingNew,B,1.23,,1.23,100,0,,CBTraderID111,,,,PARFX,FX_OTC,REF_EcommProductName,TKTestSubtype41,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,2,,TKTestISIN41,TKTestCUSIP41,FX-AUDCAD,FX-4-FXSPOT,FX-4-FXSPOT,,,,,,100,HUF,FX-HUF,,,119188210,pendingNew,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4354,4354,18650965,,,FX-CBTraderID111,,,,,,,,,,,,,ABC,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:56:30.000000000,FX-PR-1-4354,AFX,new,B,1.23,,1.23,100,0,,CBTraderID111,,,,PARFX,2,FX,TKTestSubtype43,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,3,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,100,HUF,FX-HUF,,,119188210,new,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4354,4354,18650965,,,FX-CBTraderID111,,,,,,,,,,,,,ABC,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:56:31.000000000,FX-PR-1-4355,AFX,pendingNew,S,1.24,,1.24,50,0,,CBTraderID111,,,,PARFX,2,FX,TKTestSubtype43,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,5,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,50,HUF,FX-HUF,,,119188211,pendingNew,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4355,4355,18650966,,,FX-CBTraderID111,,,,,,,,,,,,,DEF,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:56:31.000000000,FX-PR-1-4355,AFX,new,S,1.24,,1.24,50,0,,CBTraderID111,,,,PARFX,FX_OTC,REF_EcommProductName,TKTestSubtype41,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,6,,TKTestISIN41,TKTestCUSIP41,FX-AUDCAD,FX-4-FXSPOT,FX-4-FXSPOT,,,,,,50,HUF,FX-HUF,,,119188211,new,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4355,4355,18650966,,,FX-CBTraderID111,,,,,,,,,,,,,DEF,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:56:36.000000000,FX-PR-1-4360,AFX,pendingNew,B,1.29,,1.29,100,0,,CBTraderID111,,,,PARFX,2,FX,TKTestSubtype43,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,20,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,100,HUF,FX-HUF,,,119188216,pendingNew,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4360,4360,18650971,,,FX-CBTraderID111,,,,,,,,,,,,,STU,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:56:36.000000000,FX-PR-1-4360,AFX,new,B,1.29,,1.29,100,0,,CBTraderID111,,,,PARFX,2,FX,TKTestSubtype43,,,,FX,,,GTC,principal,2018.10.25D02:06:38.794804000,,21,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,100,HUF,FX-HUF,,,119188216,new,,,FX-PARFX,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4360,4360,18650971,,,FX-CBTraderID111,,,,,,,,,,,,,STU,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:57:29.999999999,FX-PR-4-4363,AFX,pendingNew,S,1.32,,1.32,100,0,,CBTraderID114,,,,EBS_HEDGEUK,2,FX,TKTestSubtype43,,,,FX,,,OPG,principal,2018.10.25D02:06:38.794804000,,29,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,100,CAD,FX-CAD,,,119188219,pendingNew,,,FX-EBS_HEDGEUK,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4363,4363,18650974,,,FX-CBTraderID114,,,,,,,,,,,,,,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:57:29.999999999,FX-PR-4-4363,AFX,new,S,1.32,,1.32,100,0,,CBTraderID114,,,,EBS_HEDGEUK,FX_OTC,REF_EcommProductName,TKTestSubtype41,,,,FX,,,OPG,principal,2018.10.25D02:06:38.794804000,,30,,TKTestISIN41,TKTestCUSIP41,FX-AUDCAD,FX-4-FXSPOT,FX-4-FXSPOT,,,,,,100,CAD,FX-CAD,,,119188219,new,,,FX-EBS_HEDGEUK,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4363,4363,18650974,,,FX-CBTraderID114,,,,,,,,,,,,,,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:57:30.000000001,FX-PR-5-4364,AFX,pendingNew,B,1.33,,1.33,37,0,,CBTraderID115,,,,EBS_AI,FX_OTC,REF_EcommProductName,TKTestSubtype41,,,,FX,,,IOC,principal,2018.10.25D02:06:38.794804000,,32,,TKTestISIN41,TKTestCUSIP41,FX-AUDCAD,FX-4-FXSPOT,FX-4-FXSPOT,,,,,,37,CHF,FX-CHF,,,119188220,pendingNew,,,FX-EBS_AI,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4364,4364,18650975,,,FX-CBTraderID115,,,,,,,,,,,,,,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
AUDCAD,2015.08.24D14:57:30.000000003,FX-PR-5-4364,AFX,new,B,1.33,,1.33,37,0,,CBTraderID115,,,,EBS_AI,2,FX,TKTestSubtype43,,,,FX,,,IOC,principal,2018.10.25D02:06:38.794804000,,33,,TKTestISIN43,TKTestCUSIP43,FX-AUDCAD,FX-2-FX,FX-2-FX,,,,,,37,CHF,FX-CHF,,,119188220,new,,,FX-EBS_AI,,,FX,FX,FX_ORDER_FIX.LD5.firm_20150824_D_1.1_BenchmarkManipulationPTT.csv.gz,FX-1191882,4364,4364,18650975,,,FX-CBTraderID115,,,,,,,,,,,,,,,,,,,,,5.94E+17,,,,FIX.PR.firmOrders2.2015.08.24.1.1.qbin,,,,,,,,,,,
