eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass,timeSinceLastUpdate,within15Secs,alert
new,2015.04.20D12:00:00.000000000,HOR0160407/5772000,HOR-BBG-SYM2,S,1000,1.23,REF_FDTrader1,1000,COMM_EXCH,,,
new,2015.04.20D12:00:00.000000000,HOR0160407/5772001,HOR-BBG-SYM2,S,5000,1.2301,REF_FDTrader1,5000,COMM_EXCH,,,
new,2015.04.20D12:00:00.000000000,HOR0160407/5772002,HOR-BBG-SYM2,S,2500,1.2299,REF_FDTrader1,2500,COMM_EXCH,,,
new,2015.04.20D12:00:00.000000000,HOR0160407/5772003,HOR-BBG-SYM2,S,20000,1.23,REF_FDTrader1,20000,COMM_EXCH,,,
new,2015.04.20D13:00:00.000000000,HOR0160407/5772004,HOR-BBG-SYM2,S,1000,1.23,REF_FDTrader2,1000,COMM_EXCH,,,
new,2015.04.20D13:00:00.001000000,HOR0160407/5772005,HOR-BBG-SYM2,S,5000,1.2301,REF_FDTrader2,5000,COMM_EXCH,,,
new,2015.04.20D13:00:00.003000000,HOR0160407/5772006,HOR-BBG-SYM2,S,2500,1.2299,REF_FDTrader2,2500,COMM_EXCH,,,
new,2015.04.20D13:00:00.004000000,HOR0160407/5772007,HOR-BBG-SYM2,S,20000,1.23,REF_FDTrader2,20000,COMM_EXCH,,,
new,2015.04.20D13:00:00.006000000,HOR0160407/5772008,HOR-BBG-SYM2,S,20000,1.23,REF_FDTrader2,20000,COMM_EXCH,,,
new,2015.04.20D20:30:29.002000000,HOR0160407/5775010,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D20:30:29.003000000,HOR0160407/5775010,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D20:30:49.002000000,HOR0160407/5775011,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D20:30:49.003000000,HOR0160407/5775011,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D20:31:09.002000000,HOR0160407/5775012,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D20:31:09.002000000,HOR0160407/5775012,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D21:30:29.002000000,HOR0160407/5775013,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D21:30:29.002000000,HOR0160407/5775013,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D21:30:49.002000000,HOR0160407/5775014,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D21:30:49.002000000,HOR0160407/5775014,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D21:31:09.002000000,HOR0160407/5775015,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,75,COMM_EXCH,,,
filled,2015.04.20D21:31:09.002000000,HOR0160407/5775015,XXTK_BBG-HOR-SYM,S,75,165.875,REF_FDTraderAAA,0,COMM_EXCH,,,
new,2015.04.20D15:00:00.048504284,HOR_NSM__oid1887138,FB.OQ,B,1,220.92,NSM_trader0,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:00.254608044,HOR_NSM__oid1887285,FB.OQ,S,1,221,NSM_trader1,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:00.443544503,HOR_NSM__oid1887363,FB.OQ,B,2,220.86,NSM_trader2,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:00.475542321,HOR_NSM__oid1887400,FB.OQ,B,1,220.9,NSM_demoTrader,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:00.551537869,HOR_NSM__oid1887494,FB.OQ,S,1,220.99,NSM_trader4,1,EQUITY_EXCHANGE,,FALSE,
