eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass
new,2020.01.14D07:50:00.073581128,LO_oid580854,BARC.L,B,91,180.48,,,
new,2020.01.14D07:50:00.073581128,LO_oid580855,BARC.L,S,1000,186.4,,,
new,2020.01.14D07:50:00.133166886,LO_oid580912,BARC.L,B,91,180.48,,,
new,2020.01.14D07:50:00.133166886,LO_oid580913,BARC.L,S,10000,184.82,,,
new,2020.01.14D07:50:01.693154334,LO_oid580976,BARC.L,B,7391,180.48,,,
new,2020.01.14D07:50:01.693154334,LO_oid580977,BARC.L,S,10000,184.82,,,
new,2020.01.14D07:50:02.109198803,LO_oid581022,BARC.L,B,9456,180.48,,,
new,2020.01.14D07:50:02.109198803,LO_oid581023,BARC.L,S,10000,184.82,,,
new,2020.01.14D07:50:02.149260641,LO_oid581030,BARC.L,B,9456,180.48,,,
new,2020.01.14D07:50:02.149260641,LO_oid581031,BARC.L,S,524,181,,,
new,2020.01.14D07:50:05.097414616,LO_oid581122,BARC.L,B,9502,180.48,,,
new,2020.01.14D07:50:05.097414616,LO_oid581123,BARC.L,S,524,181,,,
new,2020.01.14D07:50:10.545539097,LO_oid581318,BARC.L,B,12319,180.48,,,
new,2020.01.14D07:50:10.545539097,LO_oid581319,BARC.L,S,524,181,,,
new,2020.01.14D07:50:14.117656377,LO_oid581418,BARC.L,B,12369,180.48,,,
new,2020.01.14D07:50:14.117656377,LO_oid581419,BARC.L,S,524,181,,,
new,2020.01.14D07:50:30.465292405,LO_oid581631,BARC.L,B,15369,180.48,,,
new,2020.01.14D07:50:30.465292405,LO_oid581632,BARC.L,S,524,181,,,
new,2020.01.14D07:50:30.473241574,LO_oid581633,BARC.L,B,15369,180.48,,,
new,2020.01.14D07:50:30.473241574,LO_oid581634,BARC.L,S,1284,181,,,
new,2020.01.14D07:50:30.497287537,LO_oid581635,BARC.L,B,15369,180.48,,,
new,2020.01.14D07:50:30.497287537,LO_oid581636,BARC.L,S,1285,181,,,
new,2020.01.14D07:50:40.548711080,LO_oid581757,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:50:40.548711080,LO_oid581758,BARC.L,S,1285,181,,,
new,2020.01.14D07:50:56.868236083,LO_oid581873,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:50:56.868236083,LO_oid581874,BARC.L,S,1065,179.46,,,
new,2020.01.14D07:51:10.991760007,LO_oid582036,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:51:10.991760007,LO_oid582037,BARC.L,S,7235,179.46,,,
new,2020.01.14D07:51:12.355815606,LO_oid582054,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:51:12.355815606,LO_oid582055,BARC.L,S,13405,179.46,,,
new,2020.01.14D07:53:17.665456621,LO_oid583093,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:53:17.665456621,LO_oid583094,BARC.L,S,19958,178.06,,,
new,2020.01.14D07:54:15.064652616,LO_oid583492,BARC.L,B,17126,180.48,,,
new,2020.01.14D07:54:15.064652616,LO_oid583493,BARC.L,S,13405,173.82,,,
new,2020.01.14D07:55:21.107066566,LO_oid584008,BARC.L,B,17276,180.48,,,
new,2020.01.14D07:55:21.107066566,LO_oid584009,BARC.L,S,13405,173.82,,,
new,2020.01.14D07:55:30.163399158,LO_oid584132,BARC.L,B,17276,180.48,,,
new,2020.01.14D07:55:30.163399158,LO_oid584133,BARC.L,S,16393,173.82,,,
new,2020.01.14D07:55:30.167385463,LO_oid584134,BARC.L,B,17437,180.48,,,
new,2020.01.14D07:55:30.167385463,LO_oid584135,BARC.L,S,16393,173.82,,,
