eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D20:30:29.002000000,OTT0160407/577501012,USM5,B,100000,1.35,REF_FDTrader88ay,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D20:30:29.002000000,OTT0160407/577501018,USM5,B,400000,1.35,REF_FDTrader88ay,400000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:30:29.003000000,OTT0160407/577501013,USM5,B,100000,1.3501,REF_FDTrader88ay,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:30:29.003000000,OTT0160407/577501016,USM5,B,100000,1.3501,REF_FDTrader99ay,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:30:29.003000000,OTT0160407/577501019,USM5,B,200000,1.3501,REF_FDTraderX,200000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:30:29.003000000,OTT0160407/577501022,USM5,B,400000,1.3501,REF_FDTraderY,400000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filled,2015.05.04D21:30:29.005000000,OTT0160407/577501019,USM5,B,200000,1.3501,REF_FDTraderX,0,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:40:29.005000000,OTT0160407/577501023,USM5,S,200000,1.3502,REF_FDTraderY,200000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filled,2015.05.04D21:40:29.008000000,OTT0160407/577501023,USM5,S,200000,1.3502,REF_FDTraderY,0,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D20:30:29.002000000,OTT0160407/577501015,USM6,B,200000,1.35,REF_FDTrader99ay,200000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filled,2015.05.04D20:30:29.004000000,OTT0160407/577501015,USM6,B,200000,1.35,REF_FDTrader99ay,0,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:40:29.005000000,OTT0160407/577501020,USM6,S,100000,1.3502,REF_FDTraderX,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
