eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass
new,2015.04.17D20:30:29.002000000,SPG-Oid1,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D20:30:29.003000000,SPG-Oid1,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D20:30:49.002000000,SPG-Oid2,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D20:30:49.003000000,SPG-Oid2,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D20:31:09.002000000,SPG-Oid3,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D20:31:09.002000000,SPG-Oid3,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:00:29.002000000,SPG-Oid4,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:00:29.002000000,SPG-Oid4,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:00:49.002000000,SPG-Oid5,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:00:49.002000000,SPG-Oid5,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:01:09.002000000,SPG-Oid6,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:01:09.002000000,SPG-Oid6,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:30:29.002000000,SPG-Oid7,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:30:29.002000000,SPG-Oid7,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:30:49.002000000,SPG-Oid8,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:30:49.002000000,SPG-Oid8,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D21:31:09.002000000,SPG-Oid9,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
cancelled,2015.04.17D21:31:09.002000000,SPG-Oid9,USM6,S,100,165.875,REF_FDTrader88,100,COMM_EXCH
new,2015.04.17D22:00:00.000000000,SPG-Oid16,XYZ_LQTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
cancelled,2015.04.17D22:00:00.000000000,SPG-Oid16,XYZ_LQTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
new,2015.04.17D22:00:01.000000000,SPG-Oid17,XYZ_LQTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
cancelled,2015.04.17D22:00:01.000000000,SPG-Oid17,XYZ_LQTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
new,2015.04.17D22:00:02.000000000,SPG-Oid18,XYZ_LQTest,S,9000,165.875,REF_FDTrader88,9000,COMM_EXCH
partiallyFilled,2015.04.17D22:00:02.000000000,SPG-Oid18,XYZ_LQTest,S,9000,165.875,REF_FDTrader88,9000,COMM_EXCH
cancelled,2015.04.17D22:00:02.000000000,SPG-Oid18,XYZ_LQTest,S,9000,165.875,REF_FDTrader88,9000,COMM_EXCH
new,2015.04.17D22:10:00.000000000,SPG-Oid19,XYZ_WJTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
cancelled,2015.04.17D22:10:00.000000000,SPG-Oid19,XYZ_WJTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
new,2015.04.17D22:10:00.000000000,SPG-Oid20,XYZ_WJTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
cancelled,2015.04.17D22:10:00.000000000,SPG-Oid20,XYZ_WJTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
new,2015.04.17D22:10:00.000000000,SPG-Oid21,XYZ_WJTest,S,10000,165.875,REF_FDTrader88,10000,COMM_EXCH
